               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084236,            0.038403,            0.043278,             0.46281,             0.23975,             0.16458,            0.065545,            0.053135,            0.018184,            0.028179,             0.07037,           0.0032922,           0.0032922
                   1,            0.059677,            0.034906,            0.028598,             0.58738,             0.43149,             0.42959,             0.17166,            0.046819,            0.014993,            0.018218,            0.040239,           0.0064943,           0.0064943
                   2,            0.057188,            0.030711,            0.022173,             0.59056,             0.38191,             0.37999,             0.16997,            0.048179,            0.013331,            0.012031,            0.009976,           0.0095645,           0.0095645
                   3,            0.053052,            0.029733,            0.017622,             0.60502,             0.56349,             0.48696,             0.21039,              0.0414,            0.013823,            0.009312,            0.009406,            0.009406,            0.009406
                   4,            0.047859,            0.028359,            0.015537,             0.70354,             0.55212,             0.60432,             0.29899,            0.037317,            0.013869,           0.0078484,            0.009406,            0.009406,            0.009406
                   5,            0.046145,            0.027277,            0.014006,             0.71886,             0.64354,              0.6991,             0.33277,            0.036416,            0.012939,           0.0078975,            0.009208,            0.009208,            0.009208
                   6,            0.045252,             0.02816,            0.011969,             0.71897,             0.62627,             0.67469,             0.35054,            0.034328,            0.013239,           0.0061209,             0.00901,             0.00901,             0.00901
                   7,            0.042291,             0.02705,            0.012606,             0.77425,             0.71058,             0.76284,             0.41748,            0.032126,            0.012584,           0.0054812,            0.008812,            0.008812,            0.008812
                   8,            0.042762,            0.026863,            0.012112,             0.71238,             0.73976,             0.72993,             0.41521,            0.033298,            0.012517,           0.0066016,            0.008614,            0.008614,            0.008614
                   9,            0.040688,            0.027132,            0.011369,              0.6948,             0.74717,             0.78403,             0.45219,             0.03079,            0.012678,           0.0050709,            0.008416,            0.008416,            0.008416
                  10,            0.039824,            0.025872,            0.010266,             0.68354,             0.77811,             0.77637,             0.45496,            0.031493,            0.012399,           0.0047262,            0.008218,            0.008218,            0.008218
                  11,            0.039472,            0.027298,            0.011319,             0.68173,             0.74975,             0.76781,             0.45088,            0.032512,            0.012463,           0.0046249,             0.00802,             0.00802,             0.00802
                  12,            0.038549,             0.02548,            0.010719,             0.78088,             0.74884,             0.82328,             0.45112,            0.030469,             0.01187,           0.0042644,            0.007822,            0.007822,            0.007822
                  13,            0.037512,            0.026388,           0.0099915,              0.7395,             0.79335,             0.79579,             0.44297,            0.030667,             0.01242,           0.0040358,            0.007624,            0.007624,            0.007624
                  14,            0.037013,            0.025565,           0.0099982,             0.70558,             0.82445,             0.80667,              0.4892,            0.029403,            0.012271,           0.0048701,            0.007426,            0.007426,            0.007426
                  15,            0.036246,            0.025846,           0.0092767,             0.76092,             0.76583,             0.81798,             0.48221,            0.030369,             0.01215,           0.0037347,            0.007228,            0.007228,            0.007228
                  16,            0.036223,            0.025889,           0.0084596,             0.77924,              0.7669,             0.81857,             0.49305,            0.028561,            0.012002,           0.0035598,             0.00703,             0.00703,             0.00703
                  17,            0.036968,            0.025837,           0.0079046,             0.76851,             0.75324,             0.81035,             0.49382,            0.028703,            0.012019,           0.0042917,            0.006832,            0.006832,            0.006832
                  18,            0.035624,            0.025125,           0.0079652,             0.79485,             0.75902,             0.83711,             0.52195,            0.029129,            0.011803,            0.002765,            0.006634,            0.006634,            0.006634
                  19,            0.035317,            0.025441,           0.0078972,             0.73327,             0.77564,             0.81642,              0.4948,            0.027858,            0.012046,           0.0038722,            0.006436,            0.006436,            0.006436
                  20,            0.035265,             0.02564,           0.0092265,             0.76329,             0.79855,             0.85503,             0.51025,            0.028257,            0.011895,           0.0027242,            0.006238,            0.006238,            0.006238
                  21,            0.035384,            0.024821,           0.0084711,             0.78084,             0.79152,             0.82599,             0.50153,            0.027405,            0.011813,           0.0033583,             0.00604,             0.00604,             0.00604
                  22,             0.03429,            0.024892,           0.0074552,             0.76779,             0.82094,             0.85206,             0.52567,            0.027679,            0.011464,           0.0026128,            0.005842,            0.005842,            0.005842
                  23,            0.033925,            0.025436,           0.0071297,             0.75347,             0.82497,             0.85076,             0.53451,            0.027732,            0.011597,           0.0030855,            0.005644,            0.005644,            0.005644
                  24,            0.034204,            0.025323,           0.0088289,             0.81856,             0.81837,             0.85528,             0.51931,            0.028069,            0.011756,           0.0025998,            0.005446,            0.005446,            0.005446
                  25,            0.033429,            0.025165,           0.0073387,             0.78951,             0.79731,             0.85055,             0.53581,            0.027327,            0.011639,           0.0033219,            0.005248,            0.005248,            0.005248
                  26,            0.033439,            0.024185,           0.0071907,             0.76748,             0.82197,             0.85714,              0.5345,            0.026949,            0.011572,           0.0027002,             0.00505,             0.00505,             0.00505
                  27,            0.032026,            0.024699,           0.0068693,             0.72608,              0.8493,              0.8567,             0.54168,            0.026109,            0.011555,             0.00308,            0.004852,            0.004852,            0.004852
                  28,            0.032762,            0.024036,           0.0070688,             0.75822,             0.80124,             0.83672,             0.53027,            0.027333,            0.011595,           0.0027753,            0.004654,            0.004654,            0.004654
                  29,            0.032356,            0.024128,           0.0060338,             0.78176,             0.79894,             0.84786,             0.52803,            0.025788,            0.011478,           0.0022462,            0.004456,            0.004456,            0.004456
                  30,            0.031929,            0.024196,           0.0063295,             0.72617,             0.85818,              0.8345,             0.52525,            0.025513,            0.011665,           0.0022345,            0.004258,            0.004258,            0.004258
                  31,             0.03174,            0.024223,           0.0068553,             0.72777,             0.84586,              0.8478,             0.54312,            0.026285,            0.011513,           0.0022203,             0.00406,             0.00406,             0.00406
                  32,            0.032133,            0.024023,           0.0061765,             0.78222,             0.81782,             0.85455,             0.54808,            0.026288,             0.01151,           0.0023386,            0.003862,            0.003862,            0.003862
                  33,            0.031056,            0.023536,            0.006187,             0.77364,             0.78434,             0.83803,             0.54483,            0.026004,            0.011428,           0.0025334,            0.003664,            0.003664,            0.003664
                  34,            0.030853,            0.022912,           0.0069776,             0.78674,             0.81805,              0.8576,             0.55714,            0.025346,             0.01129,           0.0021361,            0.003466,            0.003466,            0.003466
                  35,            0.031324,            0.024154,           0.0053567,             0.82463,             0.81634,              0.8618,             0.55604,            0.025891,             0.01127,           0.0024518,            0.003268,            0.003268,            0.003268
                  36,            0.030932,            0.024152,           0.0063398,             0.83892,             0.81731,             0.87248,             0.54919,            0.025431,            0.011221,           0.0023268,             0.00307,             0.00307,             0.00307
                  37,            0.030694,             0.02334,           0.0061785,             0.79311,             0.85668,             0.88074,             0.55828,            0.025174,            0.011083,           0.0024027,            0.002872,            0.002872,            0.002872
                  38,            0.030591,            0.022116,           0.0069343,             0.85366,             0.80699,             0.87648,             0.58422,             0.02603,            0.011126,           0.0020864,            0.002674,            0.002674,            0.002674
                  39,            0.030386,            0.022699,           0.0062746,             0.82086,             0.81716,             0.86938,             0.56549,            0.025127,            0.011188,           0.0020822,            0.002476,            0.002476,            0.002476
                  40,            0.029825,            0.023006,           0.0057226,             0.81495,             0.83115,             0.87245,             0.57444,            0.024669,            0.011083,           0.0017532,            0.002278,            0.002278,            0.002278
                  41,            0.030685,            0.023769,           0.0064924,             0.80736,             0.83906,             0.87559,             0.57816,            0.025455,            0.011186,           0.0020827,             0.00208,             0.00208,             0.00208
                  42,            0.029787,            0.023411,           0.0054117,             0.77793,             0.86783,             0.86804,             0.56334,            0.024688,            0.011141,           0.0017871,            0.001882,            0.001882,            0.001882
                  43,            0.029127,            0.023268,           0.0062586,             0.79527,             0.83231,             0.86028,             0.57256,            0.025203,            0.011093,           0.0020568,            0.001684,            0.001684,            0.001684
                  44,            0.029172,             0.02178,           0.0060505,             0.83493,             0.84772,             0.87406,              0.5742,            0.025047,            0.011157,            0.002522,            0.001486,            0.001486,            0.001486
                  45,            0.029086,            0.023187,           0.0052167,              0.8251,             0.84226,             0.87339,             0.58317,            0.025061,            0.011173,           0.0019948,            0.001288,            0.001288,            0.001288
                  46,            0.027989,            0.021919,           0.0048637,             0.79822,              0.8451,             0.86512,             0.57583,            0.024902,            0.011037,           0.0016822,             0.00109,             0.00109,             0.00109
                  47,            0.028679,            0.021763,           0.0049629,             0.80605,             0.83731,             0.86591,             0.57984,            0.024728,            0.010993,           0.0016039,            0.000892,            0.000892,            0.000892
                  48,            0.029186,            0.022549,           0.0054302,             0.81969,             0.82448,             0.87073,             0.58475,            0.024872,            0.011086,            0.001796,            0.000694,            0.000694,            0.000694
                  49,            0.028668,            0.022332,           0.0050837,             0.78064,              0.8759,             0.86542,             0.58908,            0.025152,            0.010959,           0.0017174,            0.000496,            0.000496,            0.000496
